epoch,step,train_loss,val_loss
0,49,0.5109094381332397,
0,55,,0.7104934453964233
1,99,0.7128781080245972,
1,111,,0.7102376222610474
2,149,0.6683111786842346,
2,167,,0.7152119874954224
3,199,0.6297663450241089,
3,223,,0.7132216691970825
4,249,0.5410805940628052,
4,279,,0.716426432132721
5,299,0.6508038640022278,
5,335,,0.7138187289237976
6,349,0.9870738387107849,
6,391,,0.7153449654579163
7,399,0.8844866752624512,
7,447,,0.7137216925621033
8,449,0.5782613754272461,
8,499,0.48094457387924194,
8,503,,0.7137791514396667
9,549,0.6340506076812744,
9,559,,0.7141463160514832
10,599,0.5122694969177246,
10,615,,0.7134086489677429
11,649,0.8170907497406006,
11,671,,0.7500945329666138
