epoch,step,train_loss,val_loss
0,49,0.23413173854351044,
0,55,,0.20470353960990906
1,99,0.16511157155036926,
1,111,,0.16186702251434326
2,149,0.10789331793785095,
2,167,,0.13321395218372345
3,199,0.2912907302379608,
3,223,,0.1510002315044403
4,249,0.1177944615483284,
4,279,,0.12507621943950653
5,299,0.21582268178462982,
5,335,,0.11867374181747437
6,349,0.07460503280162811,
6,391,,0.088962621986866
7,399,0.10340643674135208,
7,447,,0.11007426679134369
8,449,0.06123849004507065,
8,499,0.05085550621151924,
8,503,,0.08143571764230728
9,549,0.0626135841012001,
9,559,,0.06443945318460464
10,599,0.07841934263706207,
10,615,,0.056187115609645844
11,649,0.058868229389190674,
11,671,,0.07769545167684555
12,699,0.14320069551467896,
12,727,,0.0634235218167305
13,749,0.08228986710309982,
13,783,,0.05011884123086929
14,799,0.02978288009762764,
14,839,,0.05055839568376541
15,849,0.023557154461741447,
15,895,,0.04451223462820053
16,899,0.022259607911109924,
