epoch,step,train_loss,val_loss
0,49,0.14528310298919678,
0,55,,0.20055678486824036
1,99,0.17778156697750092,
1,111,,0.1727435439825058
2,149,0.12996210157871246,
2,167,,0.18570716679096222
3,199,0.18098437786102295,
3,223,,0.1572187840938568
4,249,0.08896289020776749,
4,279,,0.15244893729686737
5,299,0.12086919695138931,
5,335,,0.15401491522789001
6,349,0.06781350821256638,
6,391,,0.15372145175933838
7,399,0.19862772524356842,
7,447,,0.15580524504184723
8,449,0.19780372083187103,
8,499,0.13590887188911438,
8,503,,0.16088831424713135
9,549,0.13633646070957184,
9,559,,0.15558359026908875
