epoch,step,train_loss,val_loss
0,49,0.7267496585845947,
0,55,,0.741276204586029
1,99,0.8868240714073181,
1,111,,0.740706741809845
2,149,0.6945635676383972,
2,167,,0.7410545349121094
3,199,0.7942138910293579,
3,223,,0.75198894739151
4,249,0.6926034688949585,
4,279,,0.7406042814254761
5,299,0.8717667460441589,
5,335,,0.7450224161148071
6,349,0.5865529179573059,
6,391,,0.7460750341415405
7,399,0.6114800572395325,
7,447,,0.7412219643592834
8,449,0.6817817091941833,
8,499,0.56739741563797,
8,503,,0.7394801378250122
9,549,0.5651394724845886,
9,559,,0.7425183057785034
10,599,0.9067115783691406,
10,615,,0.7397158741950989
11,649,1.0457179546356201,
11,671,,0.7397145628929138
12,699,0.6402589678764343,
12,727,,0.7379009127616882
13,749,0.9430142641067505,
13,783,,0.7378609776496887
14,799,0.7032201290130615,
14,839,,0.7458723187446594
15,849,0.7415918707847595,
15,895,,0.7409836053848267
16,899,0.7012521028518677,
16,949,0.6167172193527222,
16,951,,0.7296266555786133
17,999,0.5808354616165161,
17,1007,,0.7404133677482605
18,1049,0.7734622955322266,
18,1063,,0.739476203918457
19,1099,0.6511127352714539,
19,1119,,0.7385879158973694
20,1149,0.6212032437324524,
20,1175,,0.8486427068710327
21,1199,0.8309792876243591,
21,1231,,0.7409254312515259
