epoch,step,train_loss,val_loss
0,49,1.0983917713165283,
0,55,,0.8767565488815308
1,99,0.8823806643486023,
1,111,,0.8705067038536072
2,149,0.8765585422515869,
2,167,,0.8817124962806702
3,199,1.0904048681259155,
3,223,,0.8704482316970825
4,249,0.9436033964157104,
4,279,,0.8881364464759827
5,299,0.7797979116439819,
5,335,,0.870729386806488
6,349,1.1286197900772095,
6,391,,0.8798904418945312
7,399,1.1078976392745972,
7,447,,0.87143474817276
8,449,0.9213606119155884,
8,499,0.7815431356430054,
8,503,,0.8737391829490662
