epoch,step,train_loss,val_loss
0,49,0.2580429017543793,
0,55,,5.600944995880127
1,99,0.13952431082725525,
1,111,,5.600944995880127
2,149,0.08721189945936203,
2,167,,5.600945472717285
3,199,0.13970400393009186,
3,223,,5.600944995880127
4,249,0.17782717943191528,
4,279,,5.600945472717285
5,299,0.083778977394104,
5,335,,5.600945472717285
6,349,0.0914059653878212,
6,391,,5.600944995880127
7,399,0.05343053117394447,
7,447,,5.600944995880127
8,449,0.1104857325553894,
8,499,0.11412768065929413,
8,503,,5.600945472717285
