epoch,step,train_loss,val_loss
0,49,0.15660178661346436,
0,55,,0.2509837746620178
1,99,0.16308565437793732,
1,111,,0.16520634293556213
2,149,0.14264258742332458,
2,167,,0.13934996724128723
3,199,0.10491200536489487,
3,223,,0.14620403945446014
4,249,0.1383192092180252,
4,279,,0.13918666541576385
5,299,0.15522484481334686,
5,335,,0.1371918022632599
6,349,0.19489692151546478,
6,391,,0.13821014761924744
7,399,0.13469934463500977,
7,447,,0.14334607124328613
8,449,0.12028732150793076,
8,499,0.19713106751441956,
8,503,,0.1386495679616928
9,549,0.18843519687652588,
9,559,,0.1394570916891098
10,599,0.16717642545700073,
10,615,,0.13893619179725647
